initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth
180,199,8,94,17,18,31
101,174,13,85,3,8,34
116,94,15,12,11,11,95
247,225,46,65,14,7,59
164,183,27,49,17,14,22
134,27,38,63,8,8,7
164,230,13,88,8,2,84
116,64,2,48,14,15,18
57,178,49,99,3,1,79
238,197,17,95,4,2,1
19,111,22,15,7,11,33
41,140,37,49,6,11,76
85,94,39,95,12,7,55
174,73,48,78,8,7,65
193,125,8,72,12,2,19
222,145,12,25,7,0,81
139,107,29,2,8,14,44
105,30,49,14,20,6,5
104,136,42,8,5,16,29
48,38,14,67,11,4,54
215,15,37,15,6,12,51
144,213,3,60,4,6,44
129,11,2,89,16,20,38
228,173,30,23,18,9,95
23,7,28,34,11,5,33
161,23,17,73,13,13,6
214,212,18,9,6,0,93
74,165,30,63,12,17,7
5,107,18,88,16,10,78
50,217,24,54,12,16,97
167,155,3,42,20,14,10
214,52,34,2,18,4,65
80,197,35,58,12,9,19
214,58,34,26,10,5,9
154,167,11,70,15,2,16
34,106,43,29,14,3,89
167,107,24,96,2,10,91
96,10,17,76,11,8,70
245,90,49,34,6,15,52
198,236,26,20,13,8,88
42,53,45,26,11,5,65
96,148,20,22,6,17,46
178,198,5,22,9,12,81
145,9,19,15,15,11,74
234,165,31,22,15,5,31
100,250,35,65,2,17,89
118,76,24,82,14,10,73
120,198,43,78,8,13,12
208,250,14,77,14,0,16
139,178,38,20,19,17,40
24,41,38,2,16,11,45
119,52,11,63,13,7,24
161,148,37,2,13,12,12
238,52,3,56,16,9,93
92,69,7,86,14,7,54
154,46,11,56,10,11,97
70,136,14,28,3,14,51
165,30,37,61,7,5,29
31,158,36,82,10,14,96
179,12,49,63,9,10,86
97,63,21,96,1,5,33
210,149,8,41,14,7,73
41,54,45,97,8,13,68
10,147,38,17,6,11,9
177,107,1,60,10,5,89
207,248,16,72,9,15,91
76,180,31,14,15,10,86
131,172,41,35,16,8,4
99,152,25,82,11,14,31
82,198,12,50,4,4,79
16,59,36,50,6,9,25
29,119,22,98,8,19,78
86,72,24,24,7,1,3
140,35,37,21,2,13,26
223,218,44,5,8,9,26
224,63,9,81,18,15,45
166,183,34,79,5,19,38
205,132,45,29,8,9,48
0,87,3,29,3,17,59
237,31,32,42,3,6,78
233,208,33,76,11,16,29
62,210,50,44,4,5,29
122,213,22,13,13,4,6
236,96,47,22,3,11,91
34,89,50,90,5,15,61
182,10,47,57,8,13,73
136,51,20,53,11,19,96
209,91,31,10,14,14,7
216,123,11,68,13,8,18
9,155,28,92,13,4,13
44,229,13,19,14,19,9
109,147,27,95,16,8,25
238,35,45,12,9,19,92
136,104,5,6,3,2,96
103,55,34,91,2,4,57
132,95,19,15,3,14,7
190,40,35,4,13,9,83
216,184,19,7,13,19,98
117,129,20,84,9,17,40
66,161,35,62,4,6,28
