initial_number_sheep,initial_number_wolves,grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce
200,30,72,46,53,3,10
77,21,86,15,8,20,1
33,127,62,14,62,6,5
173,28,51,17,92,18,15
86,169,45,37,46,11,14
38,84,83,29,92,12,20
150,81,62,8,26,6,8
144,174,54,28,22,6,6
43,195,81,6,2,3,20
193,230,86,20,88,6,7
229,13,55,34,52,7,17
60,178,71,45,1,16,10
219,189,26,29,89,8,5
146,66,96,39,16,12,14
112,67,16,49,68,19,3
127,23,38,43,34,5,20
119,229,91,0,17,1,14
242,102,14,37,61,14,1
58,54,48,16,36,8,2
87,197,84,47,71,10,9
33,179,3,15,54,13,15
113,152,21,45,85,4,13
29,209,68,3,99,20,20
74,11,67,15,78,13,20
66,33,7,38,24,1,4
247,33,26,34,48,11,14
218,103,94,37,50,18,16
96,152,31,38,30,13,6
163,230,88,11,79,20,19
154,196,64,45,7,19,12
43,64,32,50,47,6,0
175,153,67,17,90,3,3
155,91,57,23,37,6,4
192,225,6,45,47,14,20
118,176,86,21,45,5,13
167,40,26,11,8,7,3
196,45,91,44,52,10,11
117,89,68,50,49,5,13
23,124,57,49,7,19,17
74,167,85,43,80,16,10
120,201,16,34,55,13,10
40,88,14,39,98,9,13
35,118,84,4,71,2,1
40,229,11,34,58,6,2
18,162,44,43,54,10,20
36,18,12,11,73,12,6
114,98,29,35,3,10,3
112,71,8,22,14,13,7
78,207,51,41,14,7,9
56,140,51,41,72,2,9
213,139,52,8,6,15,5
224,26,34,24,81,1,3
108,235,83,31,96,8,4
221,176,38,42,100,20,0
176,92,17,13,12,5,13
150,81,42,23,35,3,8
144,187,45,38,44,10,14
156,205,74,34,87,16,11
145,153,9,29,60,7,0
223,1,74,31,55,20,8
11,209,60,3,45,5,11
52,65,14,15,13,4,0
164,5,11,47,6,7,1
28,74,54,15,60,17,14
104,31,64,40,7,11,19
37,175,89,16,56,19,7
182,236,75,15,16,2,12
158,2,80,26,93,15,7
182,188,80,18,62,11,13
96,150,75,27,37,1,9
70,59,4,25,1,14,20
242,169,50,24,38,13,14
215,3,61,31,28,1,20
152,75,70,28,93,8,8
237,70,60,12,90,16,16
200,27,95,22,96,11,0
156,21,91,17,60,14,18
185,65,27,43,50,7,0
39,67,35,2,1,9,13
242,124,23,13,58,4,8
3,95,72,30,36,7,13
88,244,12,34,3,18,5
222,180,64,38,100,6,10
161,49,44,24,5,15,18
51,249,3,42,37,20,13
164,164,60,20,39,20,0
203,62,43,25,64,1,0
192,67,98,35,34,19,0
96,97,39,24,85,15,4
204,223,82,12,70,4,17
188,61,49,46,95,20,2
170,176,83,43,43,19,2
74,195,50,7,15,7,10
197,199,66,34,21,9,0
193,236,75,4,37,8,10
103,145,86,42,42,9,15
61,200,5,11,37,7,20
108,5,21,45,52,15,5
125,130,96,32,87,12,15
122,194,13,49,90,5,10
205,226,41,6,60,19,19
207,32,60,20,54,14,18
243,198,15,28,21,14,9
190,102,52,12,51,13,12
186,247,85,26,8,11,13
71,243,19,43,63,18,11
30,79,94,44,41,14,5
51,206,19,46,11,10,12
86,180,59,35,71,9,19
239,47,5,23,97,9,18
14,20,59,16,74,4,18
148,8,94,22,55,4,7
175,138,36,32,19,1,12
60,158,54,14,2,1,0
1,180,88,48,68,1,6
191,176,63,7,19,11,5
100,173,54,50,17,20,0
45,81,63,6,76,5,8
49,140,0,21,36,6,11
88,17,28,6,36,3,1
192,40,37,17,3,6,16
14,222,97,1,91,12,5
26,39,4,6,0,1,14
243,153,71,18,21,14,5
97,56,48,31,65,6,12
121,181,72,12,99,9,18
230,221,75,22,22,15,4
31,120,74,49,18,7,17
45,116,82,42,0,19,10
152,203,85,0,65,7,14
7,40,47,9,6,15,17
95,25,82,12,4,17,20
170,65,94,31,25,13,17
140,30,47,11,64,20,9
15,117,65,26,24,18,10
233,245,98,16,66,15,3
202,232,12,2,51,16,3
1,140,0,26,58,5,17
104,31,31,4,76,3,14
40,173,21,49,23,8,5
141,62,63,29,35,19,20
242,100,66,12,40,9,1
44,29,40,1,76,3,5
216,18,15,11,45,15,17
89,184,61,28,65,15,14
27,245,97,2,28,12,16
55,94,84,42,62,12,12
66,113,56,39,12,7,2
143,6,36,5,31,7,0
64,166,97,41,86,20,2
195,103,17,31,38,4,18
85,85,68,2,32,17,18
17,202,5,6,61,7,6
187,138,94,9,8,1,2
40,223,100,6,2,12,4
5,87,57,12,8,6,1
239,31,69,34,39,13,5
46,193,3,28,97,2,17
100,205,47,17,36,12,9
247,173,73,24,27,4,14
53,144,71,1,81,3,0
6,167,33,47,85,12,14
187,25,57,6,49,16,18
177,219,62,30,96,5,14
194,135,10,21,7,19,17
218,1,10,49,75,14,12
40,37,69,36,34,1,19
141,82,97,27,82,8,5
77,110,67,8,13,15,12
195,13,54,33,57,4,17
83,94,85,17,28,11,8
241,109,25,39,30,16,17
222,22,50,41,87,9,19
9,151,11,43,56,18,1
189,59,85,28,5,18,8
69,235,95,11,57,8,5
166,229,8,7,66,2,15
32,200,6,29,84,3,11
79,65,50,29,63,12,3
90,132,67,0,19,13,1
169,244,58,0,60,11,4
135,93,9,40,86,19,3
102,233,76,44,27,19,6
186,29,31,46,18,8,9
133,154,73,21,1,2,9
23,71,39,17,45,14,13
2,114,31,15,83,8,15
104,216,77,19,22,9,17
241,241,80,10,51,10,0
129,77,21,1,59,20,13
128,10,82,8,78,9,9
148,58,55,5,12,3,13
206,163,66,49,3,5,16
167,106,95,31,44,10,20
239,66,29,38,36,1,6
247,11,16,24,36,20,14
216,2,38,17,30,19,18
0,72,2,37,75,16,3
15,89,72,12,67,1,19
74,204,97,40,43,16,3
66,216,8,0,57,16,1
119,114,9,3,15,13,14
250,133,51,41,20,7,19
165,54,58,28,77,4,15
183,197,34,36,25,10,3
229,168,99,21,46,20,8
2,109,84,34,79,2,1
215,241,36,4,16,12,20
246,206,99,4,28,2,18
116,81,27,9,77,4,7
240,28,99,33,3,20,11
49,36,5,30,65,7,4
49,131,38,3,75,10,5
11,153,50,35,57,4,16
160,57,44,3,49,14,16
248,93,16,15,18,10,13
90,114,58,12,10,4,2
177,244,6,31,23,9,17
10,50,90,45,31,2,3
160,14,81,39,85,17,6
22,76,65,14,69,8,16
31,105,22,3,99,10,9
30,182,20,5,3,12,9
133,132,70,15,40,14,3
80,170,4,18,4,4,12
98,125,52,9,95,20,19
209,8,71,47,96,13,16
0,85,0,38,41,17,4
