initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth
6,65,45,37,3,10,35
40,69,19,67,12,17,98
44,31,9,24,11,9,48
6,114,6,52,14,3,74
163,68,24,23,2,16,3
171,250,12,46,18,13,36
245,188,25,32,6,4,4
78,46,37,34,18,15,3
118,210,42,97,2,6,43
249,197,15,75,6,2,21
88,202,14,13,14,19,22
133,79,8,70,17,1,1
137,140,17,68,8,19,96
66,170,46,78,10,6,90
202,195,40,23,18,1,95
43,145,21,57,10,16,88
38,114,24,0,8,5,1
227,100,39,14,17,7,51
225,75,30,42,16,2,47
104,110,46,48,9,13,42
130,33,33,75,19,7,19
101,110,45,91,1,14,94
126,160,1,8,14,7,73
212,136,8,53,7,17,73
186,114,36,17,12,11,69
166,221,17,20,12,5,85
165,1,34,89,14,14,5
237,223,27,89,5,5,48
194,233,3,19,12,14,85
111,63,41,88,19,4,72
163,148,49,59,8,13,73
189,146,13,32,7,3,49
123,143,21,82,19,4,90
170,155,38,97,2,15,61
77,248,33,54,17,2,9
126,100,22,76,19,9,72
116,145,21,50,12,11,50
13,5,4,28,8,12,30
129,22,10,22,17,9,51
18,129,20,47,11,17,29
80,185,19,26,4,4,29
220,51,9,94,15,3,54
81,9,16,78,12,16,33
72,121,12,81,1,16,6
175,89,23,58,19,9,49
120,215,5,81,6,8,68
234,148,24,68,18,0,55
57,192,7,7,14,13,43
172,94,13,83,9,10,64
189,83,12,90,5,10,22
111,131,5,69,6,19,21
77,118,41,31,7,17,99
40,89,34,53,11,18,83
225,153,11,81,2,17,74
172,177,12,18,9,11,4
180,148,38,51,11,4,83
104,17,36,17,6,3,8
171,176,35,40,15,18,77
17,147,38,26,9,3,52
180,115,35,44,2,17,36
18,82,17,91,11,17,29
100,200,12,54,6,20,69
139,42,19,3,13,14,70
103,163,19,94,18,20,87
42,170,2,72,3,10,66
66,102,38,67,8,8,76
35,128,11,34,11,14,54
15,238,16,30,9,14,85
52,46,38,41,17,17,23
37,61,21,48,13,2,3
238,160,41,98,13,10,71
167,192,2,36,6,11,65
119,43,20,74,12,10,61
217,215,5,81,13,13,8
86,45,19,67,8,0,90
56,111,43,24,19,4,20
99,130,29,70,12,12,50
172,208,37,0,10,19,80
52,136,0,68,12,9,80
172,97,44,13,12,14,91
97,217,38,52,5,7,78
234,112,48,75,9,14,21
198,222,48,73,12,1,57
78,112,46,88,12,15,78
224,176,8,85,7,5,67
46,119,4,2,19,13,21
203,97,1,78,2,4,90
187,143,14,98,18,17,45
248,60,34,16,3,0,42
144,202,47,79,11,11,99
88,193,1,52,14,10,64
143,18,44,70,15,6,93
153,124,22,94,18,0,74
13,85,22,55,16,19,10
140,17,38,14,10,15,21
131,136,50,38,18,9,45
7,156,6,63,4,16,78
135,93,11,21,17,1,50
248,225,30,77,12,19,75
119,148,16,34,11,6,48
199,158,34,95,4,1,13
235,49,16,11,8,17,86
208,240,10,50,3,9,28
21,11,30,62,18,12,3
70,155,22,4,15,5,10
224,11,35,39,6,2,14
36,104,25,53,19,12,8
157,68,20,43,5,3,27
25,208,9,93,14,9,89
176,112,40,96,2,11,66
39,223,26,39,5,9,39
9,135,24,27,10,12,62
73,3,11,40,3,2,79
46,32,7,59,5,7,60
170,207,36,3,2,0,72
219,102,31,13,20,9,16
235,173,31,76,2,11,15
166,44,18,57,5,5,44
58,130,26,81,15,9,44
181,30,37,28,16,1,5
198,179,28,62,4,10,6
147,139,24,4,16,19,100
14,116,39,60,12,2,99
182,71,14,51,16,10,85
14,17,25,89,9,19,54
239,219,33,94,15,2,62
162,127,49,22,8,2,87
188,0,46,45,12,6,16
36,41,13,14,6,7,4
40,139,30,20,19,14,82
46,189,23,48,20,14,96
18,59,18,53,10,6,84
50,126,27,38,17,17,77
245,84,13,33,11,19,64
182,85,4,55,18,18,91
187,205,18,53,10,18,34
248,190,43,39,10,6,63
5,198,8,90,11,1,38
185,10,39,19,2,3,17
94,81,3,61,4,14,98
197,56,32,45,7,12,29
207,49,25,50,7,12,15
128,12,43,28,3,11,19
6,150,42,11,14,7,59
149,235,14,1,6,12,72
16,140,31,62,15,10,94
180,175,17,0,15,15,33
48,165,18,99,3,18,48
165,180,12,51,5,9,28
207,27,27,70,2,17,93
148,8,38,83,20,9,95
103,115,39,43,17,5,91
189,30,30,9,17,3,63
20,17,50,88,2,17,41
164,47,4,70,17,1,24
187,98,35,6,19,15,71
2,42,11,89,14,12,30
11,68,27,96,17,15,77
73,142,10,12,19,2,29
199,100,50,74,17,19,75
149,226,48,16,10,20,4
37,98,29,95,2,11,1
73,27,10,87,15,10,52
62,125,38,99,19,10,19
73,71,36,9,16,12,47
74,17,4,29,20,13,85
243,60,13,84,3,4,61
111,141,39,22,4,13,19
18,157,32,68,2,6,69
37,101,13,3,10,9,89
18,127,36,83,10,8,40
213,169,40,3,4,3,1
86,193,45,72,18,16,74
150,198,8,56,10,13,5
242,40,24,80,14,5,97
26,128,2,52,10,19,23
232,90,22,94,14,6,55
207,206,39,26,17,10,91
0,107,19,40,13,3,51
55,183,46,84,10,5,54
123,161,8,37,16,16,32
244,17,40,54,19,5,17
173,105,2,31,6,5,38
2,14,48,7,6,14,44
108,177,2,56,14,6,46
210,75,37,32,12,10,30
200,215,29,28,12,14,6
250,13,20,82,13,8,32
70,27,32,38,7,6,83
179,42,30,49,9,2,38
82,150,48,43,20,13,1
110,67,43,19,12,16,46
232,213,18,32,6,7,40
120,24,43,45,1,11,73
164,26,2,44,8,18,14
89,246,3,41,11,3,41
96,83,13,72,10,2,82
174,157,19,100,13,13,66
101,194,15,26,10,14,4
155,122,10,87,11,5,40
164,150,8,98,15,16,93
195,135,38,85,2,13,57
57,5,11,73,11,16,77
203,77,19,57,11,18,6
218,90,37,32,9,2,8
50,21,12,38,14,17,44
234,241,14,12,3,18,67
203,21,31,37,19,8,79
191,178,31,13,15,1,98
115,153,40,62,10,14,54
200,156,22,90,3,15,36
11,57,34,67,16,10,85
229,238,50,31,3,17,71
146,218,22,63,9,18,57
198,136,19,31,2,17,70
28,25,11,60,12,3,91
134,242,26,90,6,11,36
210,55,42,13,6,1,98
164,106,38,40,2,13,78
22,65,43,59,9,7,89
121,145,24,70,15,11,89
221,59,5,73,2,7,69
179,95,34,87,20,13,22
84,33,12,90,12,1,2
246,99,14,64,2,1,71
136,149,17,37,9,9,73
123,42,7,87,2,7,33
6,170,13,94,12,15,77
99,7,42,18,11,14,35
185,38,43,64,11,1,52
58,27,12,9,1,20,62
115,26,50,41,2,1,10
153,221,46,93,18,5,27
86,117,43,86,15,7,12
81,204,18,80,14,19,98
230,127,20,98,5,1,7
84,214,48,6,15,4,83
165,223,30,69,15,1,7
239,42,4,16,19,7,17
170,27,10,20,15,15,72
29,45,20,63,18,3,57
51,86,8,74,16,2,46
60,104,31,45,9,13,2
218,38,12,45,9,1,91
168,222,47,96,9,5,36
90,47,33,7,13,20,8
200,64,11,66,3,16,96
88,135,22,35,15,18,62
87,18,20,97,4,4,23
209,77,22,27,13,2,30
183,72,22,52,20,18,69
134,171,9,29,16,14,10
138,24,27,45,2,18,55
66,28,11,74,4,11,69
99,223,22,59,17,2,15
141,46,48,92,3,14,23
60,224,42,23,11,10,97
211,174,38,80,5,4,67
49,168,21,67,11,17,47
43,185,6,37,19,12,56
50,4,28,94,5,5,37
175,73,34,41,12,5,71
115,230,1,61,10,13,41
76,110,1,64,6,5,60
79,223,45,90,19,1,42
178,185,36,88,3,16,57
194,208,28,51,2,2,59
147,66,15,61,8,12,31
28,113,39,94,14,7,70
164,38,25,1,16,14,35
215,228,10,89,16,10,22
93,162,8,40,14,13,54
167,94,45,47,18,17,94
124,49,50,97,9,9,90
203,164,23,92,5,3,48
111,102,7,38,12,11,81
137,168,8,39,5,14,71
64,61,41,44,1,10,66
81,236,37,75,13,6,80
221,165,49,76,10,15,64
170,179,26,98,14,20,32
145,70,9,90,9,4,45
41,19,43,24,18,7,65
224,224,6,72,20,1,1
11,94,45,96,1,16,39
24,167,34,92,19,9,49
200,10,15,47,15,9,10
55,74,18,91,3,6,43
134,123,48,62,3,9,95
245,66,10,99,16,12,18
39,88,19,4,8,11,89
209,225,42,91,17,0,96
198,93,5,27,11,8,64
58,79,36,19,10,13,66
50,115,15,85,2,12,80
213,169,22,19,3,18,23
8,42,25,76,16,2,34
205,79,22,72,16,20,93
250,40,23,66,3,7,19
80,210,7,6,16,17,2
130,190,11,81,3,11,57
95,144,26,49,17,17,51
237,147,41,44,18,14,50
230,191,48,14,11,14,6
234,169,32,3,19,18,27
222,225,23,67,2,8,10
21,234,37,62,12,9,74
67,163,20,5,7,17,52
28,31,47,27,3,7,44
102,105,41,22,14,18,65
182,240,31,13,11,15,61
108,143,8,30,7,6,19
65,9,3,32,15,3,70
177,5,16,9,19,18,51
174,58,37,94,10,9,99
32,65,33,66,1,11,89
69,39,29,22,11,15,85
244,191,33,30,20,12,78
55,149,43,94,13,5,48
122,118,27,100,17,1,60
215,74,47,44,17,13,41
182,21,5,41,4,20,23
196,168,39,23,2,16,99
108,123,27,78,4,15,77
229,144,1,73,7,4,3
172,189,9,77,17,4,45
210,104,8,64,11,1,44
236,63,14,28,18,16,84
201,30,16,62,7,14,53
192,25,7,20,5,8,79
230,51,43,67,12,6,56
47,129,31,92,12,0,10
36,147,36,93,11,10,3
98,170,22,47,14,18,85
31,32,42,44,2,13,78
40,102,36,63,7,1,26
63,159,35,85,15,9,99
245,247,29,81,2,14,69
156,33,8,94,12,3,58
89,236,7,99,20,2,36
94,96,47,72,13,18,83
23,35,37,8,9,6,47
208,148,7,84,16,2,92
9,208,39,88,4,18,20
46,178,46,47,16,11,48
18,35,44,98,10,6,68
43,97,20,44,13,2,88
28,115,30,75,18,10,3
159,209,25,55,18,9,84
137,189,34,66,16,3,28
149,195,42,54,10,8,96
195,42,32,98,10,11,64
148,214,29,59,3,3,31
45,130,44,17,14,18,33
81,70,43,60,6,11,34
213,172,9,18,9,11,13
133,218,3,46,17,18,9
32,44,20,41,11,4,17
10,89,50,49,5,16,77
187,83,3,10,15,12,48
61,43,13,45,7,19,37
248,211,2,6,9,15,53
146,211,31,13,14,10,48
40,227,12,86,5,18,42
96,155,24,12,11,8,82
113,114,21,61,18,5,5
29,182,6,98,5,8,22
49,151,10,21,9,15,84
106,226,45,89,18,5,40
178,113,18,83,18,9,59
137,98,19,25,9,6,91
148,78,40,66,11,14,29
103,184,13,44,18,7,3
169,60,39,88,16,15,48
149,179,28,31,16,6,63
115,206,16,66,6,3,20
113,190,0,66,10,17,87
115,89,6,10,11,4,61
58,26,33,16,10,6,22
219,101,42,92,2,6,19
61,31,30,96,2,15,76
229,246,12,37,8,14,5
48,117,37,36,15,11,59
66,239,4,91,6,2,1
204,74,37,99,6,1,37
157,46,48,94,20,16,31
62,152,15,16,15,5,95
237,145,39,46,13,9,30
3,139,10,34,3,6,85
156,34,42,66,7,16,98
143,243,15,95,9,14,30
53,209,21,51,2,13,65
184,137,49,50,4,9,84
14,36,26,58,3,10,94
146,212,29,25,7,14,79
160,220,14,99,18,4,4
241,21,38,73,19,14,84
123,41,39,99,7,2,16
98,221,6,55,18,17,86
179,131,38,81,6,5,6
155,211,15,66,2,1,85
37,55,19,32,8,13,24
175,172,29,67,1,16,62
244,78,17,84,10,18,28
176,193,9,98,10,3,89
102,13,34,20,19,12,52
4,183,48,3,13,13,33
79,78,19,80,15,18,61
209,25,5,48,13,13,3
172,65,20,26,20,12,61
86,67,38,41,3,17,8
221,202,44,93,2,7,20
31,50,37,45,17,15,30
22,123,48,99,8,15,16
140,206,9,2,18,9,91
23,141,46,9,12,1,5
217,66,15,80,13,4,87
93,45,31,21,12,6,86
183,170,21,62,5,15,18
205,170,49,29,10,4,56
181,17,37,20,17,3,98
24,7,46,87,19,5,99
184,226,50,56,3,13,49
111,123,24,71,8,1,81
153,5,28,11,8,15,80
93,136,11,57,19,1,99
